Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
?,?,eth1/39/4,47-53-59-60,,,,0,0
?,?,eth1/39/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/39/6,47-53-59-60,,,,0,0
?,?,eth1/39/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/39/8,47-53-59-60,,,,0,0
?,?,eth1/40/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/40/2,47-53-59-60,,,,0,0
?,?,eth1/40/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/40/4,47-53-59-60,,,,0,0
?,?,eth1/40/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/40/6,47-53-59-60,,,,0,0
?,?,eth1/40/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/40/8,47-53-59-60,,,,0,0
?,?,eth1/41/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/41/2,47-53-59-60,,,,0,0
?,?,eth1/41/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/41/4,47-53-59-60,,,,0,0
?,?,eth1/41/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/41/6,47-53-59-60,,,,0,0
?,?,eth1/41/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/41/8,47-53-59-60,,,,0,0
?,?,eth1/42/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/42/2,47-53-59-60,,,,0,0
?,?,eth1/42/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/42/4,47-53-59-60,,,,0,0
?,?,eth1/42/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/42/6,47-53-59-60,,,,0,0
?,?,eth1/42/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/42/8,47-53-59-60,,,,0,0
?,?,eth1/43/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/43/2,47-53-59-60,,,,0,0
?,?,eth1/43/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/43/4,47-53-59-60,,,,0,0
?,?,eth1/43/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/43/6,47-53-59-60,,,,0,0
?,?,eth1/43/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/43/8,47-53-59-60,,,,0,0
?,?,eth1/44/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/44/2,47-53-59-60,,,,0,0
?,?,eth1/44/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/44/4,47-53-59-60,,,,0,0
?,?,eth1/44/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/44/6,47-53-59-60,,,,0,0
?,?,eth1/44/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/44/8,47-53-59-60,,,,0,0
?,?,eth1/45/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/45/2,47-53-59-60,,,,0,0
?,?,eth1/45/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/45/4,47-53-59-60,,,,0,0
?,?,eth1/45/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/45/6,47-53-59-60,,,,0,0
?,?,eth1/45/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/45/8,47-53-59-60,,,,0,0
?,?,eth1/46/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/46/2,47-53-59-60,,,,0,0
?,?,eth1/46/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/46/4,47-53-59-60,,,,0,0
?,?,eth1/46/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/46/6,47-53-59-60,,,,0,0
?,?,eth1/46/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/46/8,47-53-59-60,,,,0,0
?,?,eth1/47/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/47/2,47-53-59-60,,,,0,0
?,?,eth1/47/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/47/4,47-53-59-60,,,,0,0
?,?,eth1/47/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/47/6,47-53-59-60,,,,0,0
?,?,eth1/47/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/47/8,47-53-59-60,,,,0,0
?,?,eth1/48/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/48/2,47-53-59-60,,,,0,0
?,?,eth1/48/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/48/4,47-53-59-60,,,,0,0
?,?,eth1/48/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/48/6,47-53-59-60,,,,0,0
?,?,eth1/48/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/48/8,47-53-59-60,,,,0,0
?,?,eth1/49/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/49/2,47-53-59-60,,,,0,0
?,?,eth1/49/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/49/4,47-53-59-60,,,,0,0
?,?,eth1/49/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/49/6,47-53-59-60,,,,0,0
?,?,eth1/49/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/49/8,47-53-59-60,,,,0,0
?,?,eth1/50/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/50/2,47-53-59-60,,,,0,0
?,?,eth1/50/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/50/4,47-53-59-60,,,,0,0
?,?,eth1/50/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/50/6,47-53-59-60,,,,0,0
?,?,eth1/50/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/50/8,47-53-59-60,,,,0,0
?,?,eth1/51/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/51/2,47-53-59-60,,,,0,0
?,?,eth1/51/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/51/4,47-53-59-60,,,,0,0
?,?,eth1/51/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
